Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
JaKi	84	86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaKozro	-	-	-	-	-	71	71	51	48	47	82	45	-	82	-	-	-	-	-	-	-
JaKu	1	1	1	1	1	1	1	1	13	1	1	1	1	1	1	1	1	-	-	-	-
JaLu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100	-
JaLuLa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	98	-	-	-	-
JaMy	76	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaPa	-	-	-	-	-	-	-	-	23	13	10	17	17	13	15	15	12	21	20	22	-
JaRu	17	21	12	58	62	95	95	-	-	-	92	87	87	91	77	77	62	78	-	-	-
JaSa	54	67	60	96	118	125	125	-	-	-	-	77	77	74	-	-	-	-	-	74	72
JaSt	36	33	-	-	88	141	141	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaSz	-	-	-	-	-	-	-	79	-	-	-	-	-	-	-	-	-	-	-	-	-
JaUr	-	-	-	-	-	136	136	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaWa	-	-	-	-	-	150	150	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaWr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	91	79	-
JaZa	100	79	83	92	133	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaiElFi	23	87	56	61	63	42	42	62	36	37	59	55	51	51	45	48	48	-	73	61	52
JaiWoSt	60	62	58	68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeGr	-	-	-	-	108	102	102	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeHuGi	40	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeKa	-	-	-	-	-	-	-	69	72	53	-	65	65	59	64	64	30	31	34	33	30
JeKr	65	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeLu	-	-	-	83	72	52	52	45	64	24	42	-	-	-	-	-	-	-	-	-	-
JeMa	-	99	-	-	120	-	86	49	65	92	89	89	89	87	87	87	84	-	-	-	-
JeMi	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeSt	9	4	10	10	11	14	14	14	21	19	10	6	9	9	7	9	9	7	5	6	6
JeSz	47	59	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeUr	-	-	-	77	98	133	133	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JeWi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-	-
